F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,0,0.11
1,1,0,0,0,0,0,0.11
2,36024,111683,1,0,0,0,0.15
3,64966,215497,2,0,1,0,0.19
4,87622,291275,3,0,1,0,0.23
5,116567,395103,4,0,1,0,0.27
6,139224,470884,5,0,1,0,0.30
7,168169,574712,6,0,1,0,0.35
8,190826,650493,7,0,1,0,0.37
9,219771,754321,8,0,2,0,0.41
10,242428,830102,9,0,2,0,0.43
11,271373,933930,10,0,2,0,0.47
12,294030,1009711,11,0,2,0,0.49
13,322975,1113539,12,0,2,0,0.53
14,345632,1189320,13,0,2,0,0.56
15,374577,1293148,14,0,3,0,0.60
16,397234,1368929,15,0,3,0,0.63
17,426179,1472757,16,0,3,0,0.68
18,448836,1548538,17,0,3,0,0.71
19,477781,1652366,18,0,3,0,0.75
20,500438,1728147,19,0,3,0,0.78
21,529383,1831975,20,0,4,0,0.83
22,552040,1907756,21,0,4,0,0.86
23,580985,2011584,22,0,4,0,0.91
24,603642,2087365,23,0,4,0,0.94
25,632587,2191193,24,0,4,0,0.99
26,655244,2266974,25,0,4,0,1.03
27,684189,2370802,26,0,5,0,1.08
28,706846,2446583,27,0,5,0,1.11
29,735791,2550411,28,0,5,0,1.17
30,758448,2626192,29,0,5,0,1.21
31,787393,2730020,30,0,5,0,1.26
32,810050,2805801,31,0,5,0,1.30
33,838995,2909629,32,0,6,0,1.43
34,861652,2985410,33,0,6,0,1.48
35,890597,3089238,34,0,6,0,1.55
36,913254,3165019,35,0,6,0,1.59
37,942199,3268847,36,0,6,0,1.66
38,964856,3344628,37,0,6,0,1.70
39,993801,3448456,38,0,7,0,1.77
40,1016458,3524237,39,0,7,0,1.82
41,1045403,3628065,40,0,7,0,1.89
42,1068060,3703846,41,0,7,0,1.94
43,1097005,3807674,42,0,7,0,2.03
44,1119662,3883455,43,0,7,0,2.09
45,1148607,3987283,44,0,8,0,2.20
46,1171264,4063064,45,0,8,0,2.27
47,1200209,4166892,46,0,8,0,2.36
48,1222866,4242673,47,0,8,0,2.40
49,1251811,4346501,48,0,8,0,2.49
50,1274468,4422282,49,0,8,0,2.54
51,1303413,4526110,50,0,9,0,2.62
52,1326070,4601891,51,0,9,0,2.67
53,1355015,4705719,53,1,9,0,2.77
54,1377672,4781500,54,1,9,0,2.82
55,1406617,4885328,55,1,9,0,2.91
56,1429274,4961109,56,1,9,0,2.96
57,1458219,5064937,60,4,10,0,3.07
58,1480876,5140720,61,4,10,0,3.10
59,1509821,5244546,62,4,10,0,3.19
60,1532478,5320327,63,4,10,0,3.24
61,1561423,5424155,68,8,10,0,3.36
62,1584080,5499938,69,8,10,0,3.39
63,1613025,5603764,70,8,11,0,3.49
64,1635682,5679545,71,8,11,0,3.54
65,1664627,5783373,77,13,11,0,3.78
66,1687284,5859156,78,13,11,0,3.80
67,1716229,5962982,79,13,11,0,3.90
68,1738886,6038763,80,13,11,0,3.95
69,1767831,6142591,90,22,12,0,4.12
70,1790488,6218374,91,22,12,0,4.15
71,1819433,6322200,92,22,12,0,4.30
72,1842090,6397981,93,22,12,0,4.39
73,1871035,6501809,102,30,12,0,4.57
74,1893692,6577592,103,30,12,0,4.60
75,1922637,6681418,104,30,13,0,4.75
76,1945294,6757199,105,30,13,0,4.84
77,1974239,6861027,114,38,13,0,5.02
78,1996896,6936810,115,38,13,0,5.06
79,2025841,7040636,116,38,13,0,5.21
80,2048498,7116417,117,38,13,0,5.31
81,2077443,7220245,135,55,14,0,5.51
82,2100100,7296028,136,55,14,0,5.55
83,2129045,7399854,137,55,14,0,5.70
84,2151702,7475635,138,55,14,0,5.81
85,2180647,7579463,162,78,14,0,6.01
86,2203304,7655246,163,78,14,0,6.05
87,2232249,7759072,164,78,15,0,6.21
88,2254906,7834853,165,78,15,0,6.32
89,2283851,7938681,178,90,15,0,6.53
90,2306508,8014464,179,90,15,0,6.57
91,2335453,8118290,180,90,15,0,6.74
92,2358110,8194071,181,90,15,0,6.85
93,2387055,8297899,198,106,16,0,7.09
94,2409712,8373682,199,106,16,0,7.13
95,2438657,8477508,200,106,16,0,7.30
96,2461314,8553289,201,106,16,0,7.41
97,2490259,8657117,227,131,16,0,7.64
98,2512916,8732900,228,131,16,0,7.67
99,2541861,8836726,229,131,17,0,7.85
100,2564518,8912507,230,131,17,0,7.97
101,2593463,9016335,272,172,17,0,8.20
102,2616120,9092118,273,172,17,0,8.23
103,2645065,9195944,274,172,17,0,8.40
104,2667722,9271725,275,172,17,0,8.52
105,2696667,9375553,339,235,18,0,8.84
106,2719324,9451336,340,235,18,0,8.87
107,2748269,9555162,341,235,18,0,9.01
108,2770926,9630943,342,235,18,0,9.09
