F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.01
1,1,0,0,0,0,4,0.01
2,1,0,0,0,0,4,0.01
3,1,0,0,0,0,4,0.01
4,29,66,0,0,0,4,0.01
5,49,126,0,0,0,4,0.01
6,77,211,0,0,0,4,0.02
7,522,1678,13,11,0,4,0.02
8,923,3068,51,45,0,4,0.02
9,1385,4750,327,318,0,4,0.02
10,1986,7042,1027,1015,0,4,0.03
11,2658,9666,3252,3238,0,4,0.08
12,3346,12355,8754,8737,0,6,0.29
13,4034,15044,25312,14616,0,6,1.06
14,4722,17733,60721,24424,0,8,3.35
15,5675,21452,128165,36282,0,11,8.93
16,6440,24463,268379,49002,0,13,25.45
17,7208,27487,540364,70902,0,17,59.25
18,7977,30513,1201944,103228,0,25,168.17
19,8746,33549,4632701,128408,0,37,937.05
