F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.01
1,1,0,0,0,0,4,0.01
2,1,0,0,0,0,4,0.01
3,1,0,0,0,0,4,0.01
4,1,0,0,0,0,4,0.02
5,1,0,0,0,0,4,0.02
6,2635,7540,2,0,0,4,0.02
7,5221,17624,291,288,0,4,0.03
8,8071,29683,1736,1732,0,5,0.11
9,10921,42002,6554,6546,0,7,0.44
10,13771,54321,22904,15371,0,8,2.06
11,16621,66640,71683,21403,0,11,8.89
12,19471,78959,228462,45118,0,18,31.94
13,22321,91278,840305,47159,0,20,133.61
14,25171,103597,2741085,132898,0,46,749.78
15,28021,115916,7892073,73496,0,37,3171.89
