F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.09
1,1,0,0,0,0,4,0.09
2,1,0,0,0,1,4,0.09
3,1,0,0,0,1,4,0.09
4,1,0,0,0,1,4,0.09
5,1,0,0,0,1,4,0.09
6,1,0,0,0,2,4,0.09
7,1,0,0,0,2,4,0.09
8,1,0,0,0,2,4,0.09
9,1,0,0,0,2,4,0.09
10,1,0,0,0,3,4,0.09
11,1,0,0,0,3,4,0.09
12,1,0,0,0,3,4,0.10
13,1,0,0,0,3,4,0.10
14,1,0,0,0,4,4,0.10
15,1,0,0,0,4,4,0.10
16,1,0,0,0,4,4,0.10
17,1,0,0,0,4,4,0.10
18,1,0,0,0,5,4,0.10
19,1,0,0,0,5,4,0.10
20,1,0,0,0,5,4,0.10
21,1,0,0,0,5,4,0.10
22,1,0,0,0,6,4,0.10
23,4426,11136,246797,56496,6,12,2.18
24,4563,11136,246797,56496,6,12,2.18
25,4563,11136,246797,56496,6,12,2.18
26,4563,11136,246797,56496,7,12,2.18
27,4563,11136,246797,56496,7,12,2.18
28,4563,11136,246797,56496,7,12,2.18
29,4563,11136,246797,56496,7,12,2.18
30,4563,11136,246797,56496,8,12,2.18
31,7607,19474,539645,94901,8,18,5.29
32,7744,19474,539645,94901,8,18,5.29
33,7744,19474,539645,94901,8,18,5.29
34,7744,19474,539645,94901,9,18,5.29
35,7744,19474,539645,94901,9,18,5.29
36,7744,19474,539645,94901,9,18,5.29
37,7744,19474,539645,94901,9,18,5.29
38,7744,19474,539645,94901,10,18,5.29
39,10783,27792,819855,115759,10,25,8.60
40,10920,27792,819855,115759,10,25,8.60
41,10920,27792,819855,115759,10,25,8.60
42,10920,27792,819855,115759,11,25,8.60
43,10920,27792,819855,115759,11,25,8.60
44,10920,27792,819855,115759,11,25,8.60
45,10920,27792,819855,115759,11,25,8.60
46,10920,27792,819855,115759,12,25,8.60
47,13959,36110,1079969,124057,12,28,11.91
48,14096,36110,1079969,124057,12,28,11.91
49,14096,36110,1079969,124057,12,28,11.91
50,14096,36110,1079969,124057,13,28,11.91
51,14096,36110,1079969,124057,13,28,11.91
52,14096,36110,1079969,124057,13,28,11.91
53,14096,36110,1079969,124057,13,28,11.91
54,14096,36110,1079969,124057,14,28,11.91
55,17135,44428,1339412,131567,14,33,15.77
56,17272,44428,1339412,131567,14,33,15.77
57,17272,44428,1339412,131567,14,33,15.77
58,17272,44428,1339412,131567,14,33,15.77
59,17272,44428,1339412,131567,15,33,15.77
60,17272,44428,1339412,131567,15,33,15.77
61,17272,44428,1339412,131567,15,33,15.77
62,17272,44428,1339412,131567,15,33,15.77
63,20311,52746,1587910,150869,16,37,19.57
64,20448,52746,1587910,150869,16,37,19.58
65,20448,52746,1587910,150869,16,37,19.58
66,20448,52746,1587910,150869,16,37,19.58
67,20448,52746,1587910,150869,17,37,19.58
68,20448,52746,1587910,150869,17,37,19.58
69,20448,52746,1587910,150869,17,37,19.58
70,20448,52746,1587910,150869,17,37,19.58
71,23487,61064,1813730,152549,18,40,23.91
72,23624,61064,1813730,152549,18,40,23.91
73,23624,61064,1813730,152549,18,40,23.91
74,23624,61064,1813730,152549,18,40,23.91
75,23624,61064,1813730,152549,19,40,23.91
76,23624,61064,1813730,152549,19,40,23.91
77,23624,61064,1813730,152549,19,40,23.91
78,23624,61064,1813730,152549,19,40,23.91
79,26663,69382,2041059,163902,20,45,28.23
80,26800,69382,2041059,163902,20,45,28.23
81,26800,69382,2041059,163902,20,45,28.23
82,26800,69382,2041059,163902,20,45,28.23
83,26800,69382,2041059,163902,21,45,28.23
84,26800,69382,2041059,163902,21,45,28.24
85,26800,69382,2041059,163902,21,45,28.24
86,26800,69382,2041059,163902,21,45,28.24
87,29839,77700,2253617,160819,22,47,31.62
88,29976,77700,2253617,160819,22,47,31.62
89,29976,77700,2253617,160819,22,47,31.62
90,29976,77700,2253617,160819,22,47,31.62
91,29976,77700,2253617,160819,23,47,31.62
92,29976,77700,2253617,160819,23,47,31.62
93,29976,77700,2253617,160819,23,47,31.62
94,29976,77700,2253617,160819,23,47,31.62
95,33015,86018,2522329,212071,24,56,37.36
96,33152,86018,2522329,212071,24,56,37.36
97,33152,86018,2522329,212071,24,56,37.36
98,33152,86018,2522329,212071,24,56,37.36
99,33152,86018,2522329,212071,25,56,37.36
100,33152,86018,2522329,212071,25,56,37.36
101,33152,86018,2522329,212071,25,56,37.36
102,33152,86018,2522329,212071,25,56,37.36
103,36191,94336,2768839,196799,26,57,43.30
104,36328,94336,2768839,196799,26,57,43.30
105,36328,94336,2768839,196799,26,57,43.30
106,36328,94336,2768839,196799,26,57,43.30
107,36328,94336,2768839,196799,27,57,43.30
108,36328,94336,2768839,196799,27,57,43.30
109,36328,94336,2768839,196799,27,57,43.30
110,36328,94336,2768839,196799,27,57,43.30
111,39367,102654,3025667,231469,27,77,50.04
112,39504,102654,3025667,231469,28,77,50.04
113,39504,102654,3025667,231469,28,77,50.04
114,39504,102654,3025667,231469,28,77,50.04
115,39504,102654,3025667,231469,28,77,50.04
116,39504,102654,3025667,231469,29,77,50.04
117,39504,102654,3025667,231469,29,77,50.04
118,39504,102654,3025667,231469,29,77,50.04
119,42543,110972,3263731,194663,29,68,56.64
120,42680,110972,3263731,194663,30,68,56.64
121,42680,110972,3263731,194663,30,68,56.64
122,42680,110972,3263731,194663,30,68,56.64
123,42680,110972,3263731,194663,30,68,56.64
124,42680,110972,3263731,194663,31,68,56.64
125,42680,110972,3263731,194663,31,68,56.64
126,42680,110972,3263731,194663,31,68,56.64
127,45719,119290,3479420,231816,31,77,62.05
128,45856,119290,3479420,231816,32,77,62.06
129,45856,119290,3479420,231816,32,77,62.06
130,45856,119290,3479420,231816,32,77,62.06
131,45856,119290,3479420,231816,32,77,62.06
132,45856,119290,3479420,231816,33,77,62.06
133,45856,119290,3479420,231816,33,77,62.06
134,45856,119290,3479420,231816,33,77,62.06
135,48895,127608,3735417,237168,33,78,67.80
136,49032,127608,3735417,237168,34,78,67.80
137,49032,127608,3735417,237168,34,78,67.80
138,49032,127608,3735417,237168,34,78,67.80
139,49032,127608,3735417,237168,34,78,67.80
140,49032,127608,3735417,237168,35,78,67.81
141,49032,127608,3735417,237168,35,78,67.81
142,49032,127608,3735417,237168,35,78,67.81
143,52071,135926,4003731,196254,35,81,75.60
144,52208,135926,4003731,196254,36,81,75.60
145,52208,135926,4003731,196254,36,81,75.60
146,52208,135926,4003731,196254,36,81,75.60
147,52208,135926,4003731,196254,36,81,75.60
148,52208,135926,4003731,196254,37,81,75.60
149,52208,135926,4003731,196254,37,81,75.60
150,52208,135926,4003731,196254,37,81,75.60
151,55247,144244,4237712,265804,37,94,81.39
152,55384,144244,4237712,265804,38,94,81.39
153,55384,144244,4237712,265804,38,94,81.40
154,55384,144244,4237712,265804,38,94,81.40
