F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.10
1,1,0,0,0,1,4,0.10
2,1,0,0,0,1,4,0.10
3,1,0,0,0,1,4,0.10
4,1,0,0,0,1,4,0.10
5,1,0,0,0,2,4,0.10
6,1,0,0,0,2,4,0.11
7,1,0,0,0,2,4,0.11
8,1,0,0,0,2,4,0.11
9,1,0,0,0,3,4,0.11
10,1,0,0,0,3,4,0.12
11,10713,37862,270,269,3,5,0.14
12,10713,37862,270,269,3,5,0.14
13,18504,67251,3136,3133,4,6,0.21
14,18504,67251,3136,3133,4,6,0.22
15,29236,109240,5037,5031,4,8,0.31
16,29236,109240,5037,5031,4,8,0.32
17,41731,158551,9212,9202,5,11,0.55
18,41731,158551,9212,9202,5,11,0.56
19,68096,264734,21708,14669,5,17,1.34
20,68096,264734,21708,14669,5,17,1.35
21,116580,467937,64431,27960,6,34,8.24
22,116580,467937,64431,27960,6,34,8.24
23,164095,669498,137617,45265,6,43,27.64
24,164095,669498,137617,45265,7,43,27.65
25,220466,914446,211157,54482,7,65,52.05
26,220466,914446,211157,54482,7,65,52.05
27,277292,1162256,285113,65899,7,77,77.47
28,277292,1162256,285113,65899,8,77,77.48
29,336883,1422697,453023,75582,8,89,158.98
30,336883,1422697,453023,75582,8,89,158.98
31,397564,1687921,744625,108785,8,104,309.52
32,397564,1687921,744625,108785,9,104,309.53
33,458740,1955358,1046016,129181,9,141,514.76
34,458740,1955358,1046016,129181,9,141,514.76
35,519312,2220355,2214034,199469,9,170,1447.73
36,519312,2220355,2214034,199469,10,170,1447.74
37,579619,2484282,3154946,224685,10,182,2335.87
38,579619,2484282,3154946,224685,10,182,2335.88
39,640672,2751315,4665111,297670,10,211,3580.48
40,640672,2751315,4665111,297670,11,211,3580.49
