F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.05
1,20204,76227,0,0,0,6,0.06
2,40493,153163,0,0,0,9,0.07
3,60782,230099,0,0,0,15,0.09
4,81071,307035,0,0,0,16,0.10
5,101360,383971,5,4,0,25,0.12
6,121649,460907,49,47,1,28,0.16
7,141938,537843,143,140,1,31,0.28
8,162227,614779,445,441,1,33,0.60
9,182516,691715,1258,1253,1,37,1.28
10,202805,768651,1826,1820,1,52,2.29
11,223094,845587,3126,3119,1,57,4.23
12,243383,922523,5367,5359,1,64,7.46
13,263672,999459,9334,9325,1,75,12.22
14,283961,1076395,14847,10483,1,80,19.54
15,304250,1153331,26575,16132,1,94,34.90
16,324539,1230267,47999,20998,1,106,62.33
17,344828,1307203,87813,27171,1,126,126.60
18,365117,1384139,151107,34101,2,141,237.69
19,385406,1461075,227646,44820,2,176,393.43
20,405695,1538011,333755,54127,2,228,616.03
21,425984,1614947,436090,60552,2,237,843.81
22,446273,1691883,567455,61491,2,229,1158.34
23,466562,1768819,742639,89700,2,366,1583.73
24,486851,1845755,971460,81941,2,271,2210.42
