F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.03
1,11269,39615,0,0,0,5,0.04
2,22668,80200,0,0,0,6,0.05
3,34067,120785,0,0,0,8,0.05
4,45466,161370,124,123,0,9,0.08
5,56865,201955,527,525,0,13,0.18
6,68264,242540,2960,2957,0,16,0.78
7,79663,283125,7525,7521,0,24,1.90
8,91062,323710,13773,11819,0,30,4.30
9,102461,364295,26342,15905,0,47,9.89
10,113860,404880,47013,19076,1,53,27.42
11,125259,445465,81632,27622,1,76,61.12
12,136658,486050,113866,31670,1,82,99.21
13,148057,526635,201701,33438,1,89,220.71
14,159456,567220,328909,44326,1,120,401.63
15,170855,607805,496022,70807,1,220,661.07
16,182254,648390,680131,77108,1,231,985.61
17,193653,688975,1097616,102082,1,349,1826.96
18,205052,729560,1623385,89315,1,273,2977.79
