F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.03
1,602,2011,0,0,0,4,0.03
2,1505,5405,0,0,0,4,0.03
3,3072,11501,0,0,0,4,0.03
4,5562,21880,0,0,0,4,0.03
5,8644,34652,0,0,0,5,0.04
6,12110,48928,0,0,0,6,0.04
7,15983,64814,0,0,0,6,0.05
8,20292,82445,0,0,0,6,0.05
9,25087,102066,0,0,0,8,0.06
10,30395,123815,0,0,0,9,0.07
11,36060,147170,0,0,0,9,0.08
12,41980,171671,0,0,0,10,0.09
13,48128,197176,0,0,0,12,0.11
14,54475,223549,0,0,1,15,0.12
15,60988,250657,0,0,1,16,0.14
16,67609,278260,0,0,1,18,0.15
17,74284,306122,0,0,1,18,0.17
18,80984,334108,0,0,1,19,0.19
19,87684,362104,0,0,1,21,0.21
20,94384,390103,0,0,1,22,0.23
21,101084,418102,0,0,1,29,0.26
22,107784,446101,0,0,1,29,0.28
23,114484,474100,0,0,1,30,0.30
24,121184,502099,0,0,1,32,0.33
25,127884,530098,0,0,1,33,0.35
26,134584,558097,0,0,1,34,0.38
27,141284,586096,0,0,1,35,0.41
28,147984,614095,0,0,1,36,0.43
29,154684,642094,7,6,1,38,0.47
30,161384,670093,19,17,1,39,0.50
31,168084,698092,53,50,1,40,0.54
32,174784,726091,115,111,1,41,0.56
33,181484,754090,208,203,1,42,0.59
34,188184,782089,290,284,1,44,0.62
35,194884,810088,496,489,1,44,0.65
36,201584,838087,681,673,1,56,0.68
37,208284,866086,856,847,1,58,0.72
38,214984,894085,1256,1246,1,59,0.77
39,221684,922084,1628,1617,1,60,0.84
40,228384,950083,2217,2205,1,61,1.02
41,235084,978082,2933,2920,1,63,1.20
42,241784,1006081,3634,3620,1,66,1.30
43,248484,1034080,5147,5132,1,69,1.84
44,255184,1062079,6040,6024,2,71,2.65
45,261884,1090078,7306,7289,2,76,3.31
46,268584,1118077,7884,7866,2,78,3.77
47,275284,1146076,8249,8230,2,80,4.21
48,281984,1174075,9169,9149,2,84,4.65
49,288684,1202074,9713,9692,2,86,5.31
50,295384,1230073,11555,9560,2,89,7.11
51,302084,1258072,12341,10345,2,92,7.68
52,308784,1286071,13084,11087,2,97,8.41
53,315484,1314070,14222,10098,2,91,9.16
54,322184,1342069,15244,11119,2,95,9.83
55,328884,1370068,15796,11670,2,97,10.38
56,335584,1398067,16661,12534,2,100,11.60
57,342284,1426066,17462,13334,2,105,12.66
58,348984,1454065,17904,13775,2,107,13.68
59,355684,1482064,18214,11528,2,103,14.21
60,362384,1510063,18927,12240,2,109,15.76
61,369084,1538062,19794,13106,2,115,17.57
62,375784,1566061,20980,14291,2,123,21.02
63,382484,1594060,22634,15944,2,137,25.38
64,389184,1622059,23967,14551,2,129,28.73
65,395884,1650058,25011,15594,2,136,32.86
66,402584,1678057,26434,17016,2,168,36.21
67,409284,1706056,27257,17838,2,173,39.22
68,415984,1734055,28524,14552,2,156,43.02
69,422684,1762054,30801,16828,2,170,50.71
70,429384,1790053,33261,19287,2,185,57.17
71,436084,1818052,36618,19176,2,183,68.28
72,442784,1846051,39517,18469,2,174,81.36
73,449484,1874050,43579,22530,2,205,104.98
74,456184,1902049,46404,21253,3,188,117.09
75,462884,1930048,49074,23922,3,207,131.52
76,469584,1958047,51360,21702,3,184,140.29
77,476284,1986046,54405,24746,3,205,154.22
78,482984,2014045,55944,26284,3,216,162.04
79,489684,2042044,57383,27722,3,225,171.08
80,496384,2070043,59300,23220,3,195,179.94
81,503084,2098042,61091,25010,3,207,188.85
82,509784,2126041,62699,26617,3,218,198.10
83,516484,2154040,64627,28544,3,232,211.49
84,523184,2182039,66661,25480,3,203,223.12
85,529884,2210038,69852,28670,3,225,244.28
86,536584,2238037,71705,30522,3,236,254.77
87,543284,2266036,73594,26602,3,214,274.62
88,549984,2294035,77081,30088,3,240,318.07
89,556684,2322034,78896,31902,3,252,338.36
90,563384,2350033,82491,30054,3,239,383.00
91,570084,2378032,85243,32805,3,262,414.16
92,576784,2406031,88043,35603,3,287,464.34
93,583484,2434030,94176,35705,3,288,609.68
94,590184,2462029,99541,34804,3,279,721.99
95,596884,2490028,107169,35299,3,278,841.71
96,603584,2518027,116750,38035,3,293,1012.39
97,610284,2546026,128469,42777,3,346,1317.15
98,616984,2574025,139168,46053,3,366,1541.33
99,623684,2602024,149813,48937,3,381,1749.76
100,630384,2630023,161899,45013,3,329,1989.72
101,637084,2658022,181750,47354,3,331,2426.22
102,643784,2686021,206724,53662,3,384,2956.91
