F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.10
1,33664,117777,0,0,0,8,0.12
2,67511,237447,0,0,0,14,0.15
3,101358,357117,0,0,1,24,0.19
4,135205,476787,31,30,1,29,0.25
5,169052,596457,44,42,1,32,0.29
6,202899,716127,308,305,1,48,0.53
7,236746,835797,1879,1875,1,51,1.57
8,270593,955467,3685,3680,1,57,2.77
9,304440,1075137,6347,6341,1,64,5.25
10,338287,1194807,9944,9937,1,72,7.98
11,372134,1314477,15564,11549,2,74,13.24
12,405981,1434147,21873,15280,2,105,18.99
13,439828,1553817,29429,15972,2,108,26.18
14,473675,1673487,38597,21426,2,131,34.73
15,507522,1793157,46980,22249,2,129,44.34
16,541369,1912827,57767,23742,2,127,59.51
17,575216,2032497,66826,26981,2,141,69.36
18,609063,2152167,75704,30539,3,151,81.12
19,642910,2271837,90379,33361,3,165,102.18
20,676757,2391507,104213,33100,3,156,123.51
21,710604,2511177,119445,41581,3,187,145.32
22,744451,2630847,135520,42441,3,186,170.24
23,778298,2750517,155874,46788,3,206,198.95
24,812145,2870187,179157,52740,3,267,235.91
25,845992,2989857,204257,58320,4,288,278.18
26,879839,3109527,237386,61684,4,302,337.66
27,913686,3229197,272210,63248,4,295,400.45
28,947533,3348867,310768,58886,4,378,476.04
29,981380,3468537,343138,75409,4,452,539.86
30,1015227,3588207,369236,69507,4,380,600.73
31,1049074,3707877,397449,81722,4,451,668.84
32,1082921,3827547,444096,85102,4,444,773.18
33,1116768,3947217,487679,93906,5,466,867.48
34,1150615,4066887,551475,96393,5,469,1016.45
35,1184462,4186557,597169,99191,5,499,1113.12
36,1218309,4306227,639006,102520,5,497,1215.68
37,1252156,4425897,695305,101969,5,468,1360.83
38,1286003,4545567,750100,114038,5,533,1499.71
39,1319850,4665237,820921,120030,5,605,1694.03
40,1353697,4784907,887006,119007,6,548,1852.10
41,1387544,4904577,964920,128854,6,644,2074.72
42,1421391,5024247,1038993,133039,6,679,2283.29
43,1455238,5143917,1125273,146920,6,742,2527.24
44,1489085,5263587,1205881,152435,6,759,2740.32
