F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.04
1,696,886,0,0,0,4,0.04
2,11566,40213,0,0,0,5,0.04
3,22436,79540,14,13,0,6,0.05
4,33306,118867,395,393,0,8,0.09
5,44176,158194,1052,1049,0,9,0.15
6,55046,197521,3336,3332,0,15,0.46
7,65916,236848,5042,5037,0,16,0.96
8,76786,276175,8828,8822,0,20,1.97
9,87656,315502,15338,11056,0,25,4.74
10,98526,354829,30997,17634,0,31,12.74
11,109396,394156,68979,29159,1,51,39.87
12,120266,433483,123707,38040,1,55,82.83
13,131136,472810,219225,61561,1,105,154.13
14,142006,512137,309111,71698,1,128,241.08
15,152876,551464,404028,82812,1,140,340.71
16,163746,590791,590527,94423,1,134,526.87
17,174616,630118,752153,110347,1,182,719.46
18,185486,669445,892535,111958,1,136,849.46
19,196356,708772,1040654,142225,1,179,1008.77
20,207226,748099,1195862,137831,1,197,1177.25
21,218096,787426,1367751,147297,1,192,1380.79
22,228966,826753,1612277,154474,1,212,1785.08
23,239836,866080,1799591,183299,1,256,2067.12
24,250706,905407,2088529,201369,1,302,2524.37
25,261576,944734,2409601,205554,1,279,3102.90
