F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.04
1,9,13,0,0,0,4,0.04
2,35,74,2,1,0,4,0.04
3,531,1596,42,27,0,4,0.04
4,2130,7271,1580,1484,0,4,0.07
5,4894,16566,5131,4955,0,5,0.17
6,9216,30980,11148,8861,0,5,0.42
7,15553,50431,20967,13106,0,7,0.87
8,23040,77707,36423,18285,0,8,2.14
9,31027,108733,61319,25929,0,11,4.80
10,39442,142131,98942,33921,1,13,10.22
11,47993,177960,157977,46881,1,17,22.62
12,56754,215704,253073,59007,1,23,51.54
13,65515,254120,403407,73606,1,27,118.17
14,74276,293717,608762,101449,1,35,224.86
15,83037,331241,923503,115812,1,39,429.50
16,91798,368131,1359152,152897,1,49,802.31
17,100559,405874,1940524,170697,1,60,1380.11
18,109320,443643,2710189,219085,1,78,2176.97
19,118081,481433,3739825,240962,1,82,3374.69
