F,Var,Cla,Conf,Learn,Memory1,Memory2,Time
0,1,0,0,0,0,4,0.02
1,30,60,11,9,0,4,0.02
2,51,110,21,17,0,4,0.02
3,79,173,35,28,0,4,0.02
4,108,238,51,41,0,4,0.02
5,265,630,129,97,0,4,0.02
6,649,1594,60320,20278,0,6,0.72
7,1627,4776,75265,18151,0,6,0.87
8,2723,8524,106389,22784,0,8,1.12
9,3883,12608,113199,29562,0,9,1.17
10,5990,20559,127061,33739,0,9,1.35
11,8649,30531,150946,35836,0,10,1.73
12,11324,40311,175461,43896,0,12,2.32
13,14302,51158,202218,41806,0,13,3.69
14,17093,61774,234482,43953,0,13,5.65
15,20122,73150,273965,48342,0,15,8.59
16,23152,84571,339748,59874,0,17,13.89
17,26325,96410,394362,71735,0,22,20.67
18,29530,108317,467492,68173,1,20,28.35
19,32989,121020,556217,83222,1,23,38.88
20,36520,134105,687246,92626,1,28,59.48
21,40691,150255,926500,119330,1,33,101.56
22,44340,164367,1202576,138840,1,38,169.24
23,48699,181784,1525670,128173,1,37,264.52
24,52427,196332,1898795,181185,1,50,382.80
25,56181,210996,2512489,197412,1,55,604.91
26,59959,225755,3224666,217825,1,64,883.75
27,63771,240572,4139326,291439,1,78,1250.98
28,67587,255851,5243650,289046,1,81,1747.67
29,71405,271322,6972213,320601,1,89,2598.69
